Season,No. in series,Company,Deal,Entrepreneur Gender,Amount,Equity,Valuation
7,1,the beebo,Yes,Male,200000.00,0.30,666667.00
7,1,Acton,No,Male,,,
7,1,McClary Brothers Drinking Vinegars,No,Female,,,
7,1,SIGNALVAULT,Yes,Male,200000.00,0.25,800000.00
7,2,O'Dang Hummus,Yes,Male,50000.00,0.20,250000.00
7,2,Splikity,No,Male,,,
7,2,Mikki Bey,No,Female,,,
7,2,Loliware,Yes,Female,600000.00,0.25,2400000.00
7,3,Foot Cardigan,Yes,Male,250000.00,0.20,1250000.00
7,3,ValPark,No,Male,,,
7,3,The Two Guys Bowtie Company,Yes,Male,150000.00,0.18,857143.00
7,3,nerdwax,No,Mixed Team,,,
7,4,Table 87,Yes,Male,250000.00,0.20,1250000.00
7,4,EZ Pee Z,No,Male,,,
7,4,milk + brookies,No,Mixed Team,,,
7,4,Dude Wipes,Yes,Male,300000.00,0.25,1200000.00
7,5,Three Jerks Jerky,Yes,Male,100000.00,0.15,666667.00
7,5,The Skinny Mirror,No,Female,,,
7,5,Switch Witch,No,Mixed Team,,,
7,5,X Craft,Yes,Male,1500000.00,0.25,6000000.00
7,6,Rent Like a Champ,Yes,Male,200000.00,0.10,2000000.00
7,6,Hotshot,No,Male,,,
7,6,Windcatcher,Yes,Male,200000.00,0.05,4000000.00
7,6,Stem Center USA,Yes,Female,200000.00,0.20,1000000.00
7,7,Wink Frozen Desserts,No,Mixed Team,,,
7,7,Savvy Naturals,Yes,Mixed Team,200000.00,0.40,500000.00
7,7,Clean Cube,No,Male,,,
7,7,Simply Fit Board,Yes,Female,125000.00,0.20,625000.00
7,8,A Fresh Sheet,No,Male,,,
7,8,unshrinkit,Yes,Mixed Team,150000.00,0.15,1000000.00
7,8,Grip Clean,Yes,Male,85000.00,0.35,242857.00
7,8,Polar Pro,Yes,Male,1000000.00,0.20,5000000.00
7,9,Advanced Sports Technology,No,Male,,,
7,9,Brazi Bites,Yes,Mixed Team,200000.00,0.17,1212121.00
7,9,Umano,Yes,Male,150000.00,0.20,750000.00
7,9,Sock Tabs,Yes,Mixed Team,50000.00,0.30,166667.00
7,10,Leaux Racing Trikes,No,Male,,,
7,10,Glow Recipe,Yes,Female,425000.00,0.25,1700000.00
7,10,Sarah Oliver Handbags,Yes,Female,250000.00,0.30,833333.00
7,10,Trunkster,Yes,Male,1400000.00,0.05,28000000.00
7,11,geekmytree,Yes,Male,225000.00,0.50,450000.00
7,11,Beard Head,No,Male,,,
7,11,Lovepop,Yes,Male,300000.00,0.15,2000000.00
7,11,Piper Wei,Yes,Female,50000.00,0.25,200000.00
7,12,Abs Protein Pancakes,Yes,Mixed Team,120000.00,0.42,285714.00
7,12,Extreme Sandbox,Yes,Male,150000.00,0.20,750000.00
7,12,Total Tie Keep,No,Male,,,
7,12,Fireavert,No,Male,,,
7,13,spretz,No,Male,,,
7,13,Hungry Harvest,Yes,Male,100000.00,0.10,1000000.00
7,13,Controlled Chaos,Yes,Female,60000.00,0.50,120000.00
7,13,EZPZ,No,Female,,,
7,14,Fixed,Yes,Male,700000.00,0.07,10000000.00
7,14,Hatch Baby,Yes,Mixed Team,250000.00,0.03,7500000.00
7,14,Village Scholarships,No,Mixed Team,,,
7,14,Beard King,Yes,Mixed Team,100000.00,0.45,222222.00
7,15,Shefit,Yes,Mixed Team,250000.00,0.33,750000.00
7,15,Co.alition,No,Male,,,
7,15,icybreeze,No,Male,,,
7,15,2400 Expert,Yes,Male,250000.00,0.20,1250000.00
7,16,R. Riveter,Yes,Female,100000.00,0.20,500000.00
7,16,Beartek,No,Male,,,
7,16,Major Mom,No,Female,,,
7,16,Combat Flip Flops,Yes,Male,300000.00,0.30,1000000.00
7,17,SmartPlate,No,Male,,,
7,17,Bee Free Honee,Yes,Female,210000.00,0.30,700000.00
7,17,Float Baby,No,Female,,,
7,17,MTAILOR,No,Male,,,
7,18,Sworkit,Yes,Male,1500000.00,0.10,15000000.00
7,18,Clean Sleep,No,Male,,,
7,18,tutu blue,No,Female,,,
7,18,Nohbo,Yes,Male,100000.00,0.25,400000.00
7,19,Insta-Fire,Yes,Male,300000.00,0.30,1000000.00
7,19,Custard Stand Hot Dog Chili,No,Mixed Team,,,
7,19,PRx,Yes,Male,80000.00,0.20,400000.00
7,19,Rags to Raches,Yes,Female,200000.00,0.15,1333333.00
7,20,BetterBack,Yes,Female,750000.00,0.08,10000000.00
7,20,Glace Cryotherapy,Yes,Mixed Team,100000.00,0.30,333333.00
7,20,Linka,No,Male,,,
7,20,Teaspresso,No,Female,,,
7,21,Mob Craft,No,Male,,,
7,21,Beloved,No,Male,,,
7,21,IlumiBowl,Yes,Male,100000.00,0.25,400000.00
7,21,Innovation Pet,Yes,Mixed Team,250000.00,0.13,2000000.00
7,22,Beer Blizzard ,Yes,Male,100000.00,0.25,400000.00
7,22,Vengo,Yes,Male,2000000.00,0.10,20000000.00
7,22,The Good Promise,No,Female,,,
7,22,Wondercide,Yes,Female,500000.00,0.03,16666667.00
7,23,Pride Bites,Yes,Male,200000.00,0.20,1000000.00
7,23,Trobo,Yes,Male,166666.00,0.33,499998.00
7,23,NoPhone,No,Male,,,
7,23,Coolbox,Yes,Male,500000.00,0.15,3333333.00
7,24,Petnostics,Yes,Male,300000.00,0.20,1500000.00
7,24,Frends,No,Male,,,
7,24,Popslate,No,Male,,,
7,24,Slyde Handboards,Yes,Mixed Team,200000.00,0.22,909091.00
7,25,The Drip Drop,Yes,Male,50000.00,0.33,150150.00
7,25,Jarrett & Raja Productions,No,Male,,,
7,25,KidRunner,No,Male,,,
7,25,InchBug,No,Female,,,
7,26,FashionTap,No,Female,,,
7,26,brellabox,No,Mixed Team,,,
7,26,My Fruity Faces,No,Male,,,
7,26,brightwheel,Yes,Male,600000.00,0.07,8995502.00
7,27,dollop gourmet,Yes,Female,75000.00,0.25,300000.00
7,27,Creaproducts,Yes,Female,200000.00,0.23,888889.00
7,27,Yourself Expression,No,Mixed Team,,,
7,27,The Spooner,Yes,Male,400000.00,0.16,2500000.00
7,28,Camp No Counselors,No,Male,,,
7,28,EVP Extreme Vehicle Protection,Yes,Male,50000.00,0.33,150000.00
7,28,Gladiator Lacrosse,No,Female,,,
7,28,VPCABS,Yes,Male,200000.00,0.25,800000.00
7,29,Pete & Pedro,Yes,Male,100000.00,0.10,1000000.00
7,29,PMS Bites,No,Female,,,
7,29,Felt,Yes,Male,225000.00,0.10,2250000.00
7,29,Pavlok,No,Male,,,
