Season,No. in series,Company,Deal,Entrepreneur Gender,Amount,Equity,Valuation
4,1,Bev Buckle,Yes,Male,50000.00,0.51,98039.00
4,1,Buggy Beds,Yes,Female,250000.00,0.25,1000000.00
4,1,Coat Chex,No,Male,,,
4,1,Body Walking,No,Male,,,
4,2,SurfSet Fitness,Yes,Mixed Team,300000.00,0.30,1000000.00
4,2,CateApp,Yes,Male,75000.00,0.30,250000.00
4,2,Alpha M,No,Male,,,
4,2,eCreamery,No,Female,,,
4,3,Rock Bands,Yes,Male,100000.00,0.40,250000.00
4,3,Posture Now,Yes,Male,100000.00,0.30,333333.00
4,3,FuzziBunz,No,Female,,,
4,3,Liz Lovely Cookies,No,Mixed Team,,,
4,4,Bag Bowl,Yes,Male,40000.00,0.33,121212.00
4,4,Back 9 Dips,Yes,Mixed Team,150000.00,0.25,600000.00
4,4,Lift Hamper,No,Male,,,
4,4,Zomm,No,Male,,,
4,5,Cozy Bugs,Yes,Female,50000.00,0.30,166667.00
4,5,Marz Sprays,Yes,Male,200000.00,0.25,800000.00
4,5,Wired Waffles,No,Male,,,
4,5,The Spatty and The Spaddy Dadd,No,Female,,,
4,6,PRO-NRG,Yes,Mixed Team,250000.00,0.30,833333.00
4,6,Cousins Maine Lobster,Yes,Male,55000.00,0.15,366667.00
4,6,Freaker USA,No,Male,,,
4,6,EcoNutsSoap,No,Mixed Team,,,
4,7,SBU,Yes,Male,300000.00,0.33,909091.00
4,7,Scrub Daddy,Yes,Male,200000.00,0.20,1000000.00
4,7,The Shemie,No,Male,,,
4,7,The Bear & The Rat,No,Mixed Team,,,
4,8,The Cool Wazoo,Yes,Female,65000.00,0.35,185714.00
4,8,Plate Topper,Yes,Male,90000.00,0.08,1125000.00
4,8,No Fly Cone,No,Male,,,
4,9,Drive Suits,Yes,Male,150000.00,0.30,500000.00
4,9,Ice Chips Candy,Yes,Female,125000.00,0.20,625000.00
4,9,ReVestor,No,Male,,,
4,9,PC Classes Online,No,Male,,,
4,10,Ruck Pack Combat Nutrition,Yes,Male,150000.00,0.20,750000.00
4,10,Nearly Newlywed,No,Female,,,
4,10,Tie Try,No,Male,,,
4,10,Corks Away,No,Male,,,
4,11,The Living Christmas Company,Yes,Male,150000.00,0.40,375000.00
4,11,The Coop,Yes,Female,150000.00,0.15,1000000.00
4,11,Partie Poche,No,Mixed Team,,,
4,11,Fat Ass Fudge,No,Female,,,
4,12,Hot Tot,Yes,Female,75000.00,0.40,187500.00
4,12,The GameFace Company,Yes,Male,450000.00,0.35,1285714.00
4,12,Dura Tent,No,Male,,,
4,12,ARKEG,No,Male,,,
4,13,Coffee Joulies,Yes,Male,150000.00,0.00,0.00
4,13,Teddy Needs,Yes,Female,100000.00,0.30,333333.00
4,13,Urbio,Yes,Male,300000.00,0.15,2000000.00
4,13,Sub Zero Ice Cream,No,Mixed Team,,,
4,14,Sound Bender,Yes,Male,54000.00,0.40,135000.00
4,14,Bibitec Bibs,No,Mixed Team,,,
4,14,Cuddle Story Telling Bear,No,Male,,,
4,14,Invisible Xero Shoes,No,Mixed Team,,,
4,15,Hoodie Pillow,Yes,Mixed Team,90000.00,0.20,450000.00
4,15,Get Grinds,Yes,Male,75000.00,0.15,500000.00
4,15,Green Garmento,No,Female,,,
4,15,My Cold Snap,No,Male,,,
4,16,The Smart Wheel,Yes,Mixed Team,100000.00,0.30,333333.00
4,16,HDYR Sushi Bars,Yes,Male,1000000.00,0.20,5000000.00
4,16,Gotta Have S'More,No,Female,,,
4,16,Pretty Padded Room,No,Female,,,
4,17,Addison's Wonderland,No,Female,,,
4,17,Hip Chicks,No,Female,,,
4,17,Proof Eye Wear,No,Male,,,
4,17,Muddy Water Camo,No,Male,,,
4,18,Jeska Shoe Company,Yes,Female,70000.00,0.70,100000.00
4,18,Nuts n More,Yes,Male,250000.00,0.30,833333.00
4,18,Neo Innovations,No,Male,,,
4,18,PSI Bands,No,Female,,,
4,19,CordaRoy's Bean Bag Beds,Yes,Male,200000.00,0.58,344828.00
4,19,Lose 12,Yes,Male,125000.00,0.25,500000.00
4,19,Baby Loves Disco,No,Mixed Team,,,
4,19,Cell Helmet,No,Male,,,
4,20,CoolWraps,Yes,Male,250000.00,1.00,250000.00
4,20,Simple Sugar Scrubs,Yes,Female,100000.00,0.33,303030.00
4,20,Drop Stop,Yes,Male,300000.00,0.20,1500000.00
4,20,Traditional Fisheries,No,Male,,,
4,21,GOBIE H20,Yes,Male,300000.00,0.40,750000.00
4,21,LiddUp Coolers,Yes,Male,100000.00,0.33,303030.00
4,21,Rootsuit,No,Male,,,
4,21,Echo Valley Meats,No,Male,,,
4,22,Wicked Good Cup Cakes,Yes,Female,75000.00,0.00,0.00
4,22,The Mission Belt,Yes,Male,50000.00,0.38,133333.00
4,22,Shell Bobbers,Yes,Male,80000.00,0.33,242424.00
4,22,Tremont Electric,No,Male,,,
4,23,Me-Ma's Gumbo Bricks,Yes,Female,200000.00,0.50,400000.00
4,23,Misto Box Coffee Club,Yes,Mixed Team,75000.00,0.30,250000.00
4,23,Vermont Butcher Block,No,Male,,,
4,23,Squirrel Boss Bird Feeder,No,Male,,,
4,24,Pink Shutter Photo Booths,Yes,Male,300000.00,0.33,909091.00
4,24,KazAM Balancing Bike's,Yes,Female,300000.00,0.32,937500.00
4,24,Baby's Badass Burgers,No,Female,,,
4,24,Track Days,No,Male,,,
4,25,Stella Valle Jewelry,Yes,Female,150000.00,0.35,428571.00
4,25,Geek Chic,Yes,Male,300000.00,0.25,1200000.00
4,25,LugLess,No,Male,,,
4,25,Jones Scones,No,Male,,,
4,26,Ryan's Barkery,Yes,Male,25000.00,0.25,100000.00
4,26,Verbalize It App,Yes,Male,250000.00,0.20,1250000.00
4,26,Tom n Chee,Yes,Male,600000.00,0.15,4000000.00
4,26,Three Day Rule,No,Female,,,
