Season,No. in series,Company,Deal,Entrepreneur Gender,Amount,Equity,Valuation
8,1,Fizzics,Yes,Male,2000000.00,0.17,11997600
8,1,Spoonful of Comfort,No,Mixed Team,,,
8,1,iSlide,No,Male,,,
8,1,Rethink,Yes,Female,100000.00,0.20,500000
8,2,The Lapel Project,Yes,Male,150000.00,0.30,500000
8,2,Good Hangups,Yes,Female,100000.00,0.15,666667
8,2,Ice Age Meals,No,Male,,,
8,2,Tactibite,Yes,Male,150000.00,0.10,1500000
8,3,Raising Wild,Yes,Female,100000.00,0.50,200000
8,3,The Cookie Kahuna,No,Male,,,
8,3,TekDry,Yes,Male,500000.00,0.05,10000000
8,3,Night Runner 270,Yes,Mixed Team,200000.00,0.15,1333333
8,4,Solemates,Yes,Female,500000.00,0.20,2500000
8,4,Atlantic Candies,No,Male,,,
8,4,biem,Yes,Male,500000.00,0.14,3571429
8,4,Angels and Tomboys,Yes,Female,60000.00,0.33,180000
8,5,SandiLake Clothing,No,Female,,,
8,5,Parker Maple Farm,No,Male,,,
8,5,SafeGrabs,Yes,Female,75000.00,0.25,300000
8,5,SiliDogs,Yes,Male,100000.00,0.30,333333
8,6,Lulu Bang,No,Female,,,
8,6,Unpack,No,Male,,,
8,6,sunscreeenr,Yes,Male,800000.00,0.33,2400000
8,6,Potato Parcel,Yes,Male,50000.00,0.10,500000
8,7,EcoFlower,Yes,Female,400000.00,0.20,2000000
8,7,Style Club,Yes,Female,500000.00,0.22,2272727
8,7,SafeCatch,No,Male,,,
8,7,#besomebody,No,Male,,,
8,8,Milk Snob,Yes,Female,150000.00,0.10,1500000
8,8,Jack's Stands & Marketplaces,Yes,Male,,,
8,8,Chi'lantro,Yes,Male,600000.00,0.20,3000000
8,8,Toor,Yes,Male,500000.00,0.10,5000000
8,9,PupBox,Yes,Mixed Team,250000.00,0.15,1666667
8,9,Barbell Apparel ,No,Male,,,
8,9,energybits,No,Female,,,
8,9,Line Cutterz,Yes,Male,120000.00,0.33,363636
8,10,Inboard,Yes,Male,750000.00,0.04,18750000
8,10,petplate ,No,Male,,,
8,10,Nootrobox,No,Male,,,
8,10,nomiku,Yes,Mixed Team,250000.00,0.10,2500000
8,11,Sealed by Santa,Yes,Female,150000.00,0.20,750000
8,11,Polyglide,No,Male,,,
8,11,Digiwrap,Yes,Male,150000.00,0.20,750000
8,11,Hand Out Gloves,No,Male,300000.00,0.25,1200000
8,12,PDX Pet Design,No,Mixed Team,,,
8,12,Basic Outfitters,No,Mixed Team,,,
8,12,Victory Coffees,No,Male,,,
8,12,Naturally Perfect Dolls,Yes,Mixed Team,200000.00,0.30,666667
8,13,Grease Bags,Yes,Female,75000.00,0.50,150000
8,13,Pinblock,Yes,Male,100000.00,0.50,200000
8,13,Mama's Milk Box,No,Female,,,
8,13,nicepipes ,No,Female,,,
8,14,Chirps,Yes,Female,100000.00,0.15,666667
8,14,Vibes,No,Male,,,
8,14,PopUp Play,Yes,Mixed Team,250000.00,0.08,3000000
8,14,Getaway,No,Male,,,
8,15,Kooler,Yes,Male,50000.00,0.33,150000
8,15,Little Nomad,No,Female,,,
8,15,RinseKit,Yes,Male,250000.00,0.08,3333333
8,15,Dbest products,Yes,Male,350000.00,0.20,1750000
8,16,Tranquilo,Yes,Female,200000.00,0.15,1333333
8,16,Doc Spartan,Yes,Mixed Team,75000.00,0.25,300000
8,16,Peaceful Fruits,No,Male,,,
8,16,Firefighter Turnout Bags,Yes,Mixed Team,250000.00,0.50,500000
8,17,Toymail,Yes,Female,600000.00,0.05,12000000
8,17,EDN WallGarden,No,Male,,,
8,17,Hotels By Day,No,Male,,,
8,17,Bitsbox,No,Male,,,
8,18,Sand Cloud,Yes,Male,200000.00,0.15,1333333
8,18,Ora Organics,No,Male,,,
8,18,Dart Drones,Yes,Female,300000.00,0.10,3000000
8,18,elephant pants,Yes,Male,500000.00,0.18,2857143
8,19,The Sleep Styler,Yes,Female,75000.00,0.25,300000
8,19,Blentique Wine Company,Yes,Male,250000.00,0.10,2500000
8,19,MealEnders,No,Male,,,
8,19,Rareform,Yes,Male,300000.00,0.10,3000000
8,20,Apollo Peak,Yes,Male,100000.00,0.20,500000
8,20,seedsheet,Yes,Male,500000.00,0.20,2500000
8,20,cropsticks,No,Female,,,
8,20,Under The Weather,Yes,Male,600000.00,0.15,4000000
8,21,Guard Llama,Yes,Male,100000.00,0.18,555556
8,21,Flag,No,Mixed Team,,,
8,21,Validated,No,Male,,,
8,21,Guardian Bikes,Yes,Male,500000.00,0.15,3333333
8,22,Goverre,Yes,Female,200000.00,0.33,600601
8,22,See Rescue Streamer,No,Male,,,
8,22,BootyQueen Apparel,Yes,Mixed Team,250000.00,0.33,750075
8,22,LocTote,No,Male,150000.00,0.10,1500000
8,23,Thompson Tee,Yes,Male,700000.00,0.25,2800000
8,23,Wallet Buckle,No,Male,,,
8,23,Rumi Spice,Yes,Mixed Team,250000.00,0.15,1666667
8,23,Peoples Design,Yes,Male,75000.00,0.33,225002
8,24,Wine & Design,Yes,Mixed Team,500000.00,0.10,5000000
8,24,Rocket  Book,No,Male,,,
8,24,Laid Brand,No,Male,,,
8,24,Bridal Buddy,Yes,Female,75000.00,0.30,250000
