Artist;Title;Link
Shark Tank; Flip Flops Pitch (Shark Tank Season 8 Episode 1); https://www.youtube.com/watch?v=_WE8AglmFQ4&list=PLzQV2VVst0mcXxhhJxhUAHwPLsYmwpH5C
Shark Tank; ReThink Cyber Bullying App Pitch (Shark Tank Season 8 Episode 1); https://www.youtube.com/watch?v=FQFTCE3RV1Y&list=PLzQV2VVst0mcXxhhJxhUAHwPLsYmwpH5C&index=2
Shark Tank; Spoonful of Comfort Pitch (Shark Tank Season 8 Episode 1); https://www.youtube.com/watch?v=YAazNVbd17s&index=3&list=PLzQV2VVst0mcXxhhJxhUAHwPLsYmwpH5C
Shark Tank; The Fizzics Draft Beer System Pitch (Shark Tank Season 8 Episode 1); https://www.youtube.com/watch?v=8ADWNUjXwmI&list=PLzQV2VVst0mcXxhhJxhUAHwPLsYmwpH5C&index=4
